method,case,topology_label,n_runs,success_rate,required_verified_rate,median_best_loss,llm_used_rate,postprocess_rate,spec_pass_rate,median_spec_margin
Diagnosis + repair,diagnosis_spice_postprocess_fallback,Current mirror,10,0.4,1.0,187.42654516212144,0.0,1.0,0.8333333333333334,0.07785833095764189
Diagnosis + repair,diagnosis_spice_postprocess_fallback,Five transistor,10,0.7,1.0,300.8407950063971,0.0,1.0,0.95,0.16836191640403952
Diagnosis + repair,diagnosis_spice_postprocess_fallback,Folded cascode,10,0.1,1.0,5715.92563106769,0.0,1.0,0.85,0.23643421077453158
Diagnosis + repair,diagnosis_spice_postprocess_fallback,Telescopic,10,1.0,1.0,8263.9001682742,0.0,1.0,1.0,0.02034610733011387
Diagnosis + repair,diagnosis_spice_postprocess_fallback,Two-stage Miller,10,1.0,1.0,1193.6951832959635,0.0,1.0,1.0,0.042391495070150706
LLM diagnosis + repair,llm_full_residual_escape_postprocess_fallback,Current mirror,10,1.0,1.0,147.53048500762628,0.9,1.0,1.0,0.07839305216995657
LLM diagnosis + repair,llm_full_residual_escape_postprocess_fallback,Five transistor,10,1.0,1.0,302.5364681095475,0.5,1.0,1.0,0.21891598387866823
LLM diagnosis + repair,llm_full_residual_escape_postprocess_fallback,Folded cascode,10,1.0,1.0,5719.7632829825,0.0,1.0,1.0,0.020447086289230663
LLM diagnosis + repair,llm_full_residual_escape_postprocess_fallback,Telescopic,10,1.0,1.0,8263.9001682742,0.0,1.0,1.0,0.02034610733011387
LLM diagnosis + repair,llm_full_residual_escape_postprocess_fallback,Two-stage Miller,10,1.0,1.0,1039.9288462829095,0.6,1.0,1.0,0.04838931012864943
Optimizer,optimizer_only,Current mirror,10,0.0,1.0,164.62256097936398,0.0,0.0,0.5833333333333334,0.14864057641619743
Optimizer,optimizer_only,Five transistor,10,0.0,1.0,298.2721101316979,0.0,0.0,0.6666666666666666,0.2829159692886742
Optimizer,optimizer_only,Folded cascode,10,0.1,1.0,5719.7632829825,0.0,0.0,0.5833333333333334,0.03754682707909112
Optimizer,optimizer_only,Telescopic,10,0.0,0.0,8263.9001682742,0.0,0.0,0.2,-0.30378292137225654
Optimizer,optimizer_only,Two-stage Miller,10,0.0,1.0,596.8205455237462,0.0,0.0,0.65,0.19178574999999987
Optimizer + repair,optimizer_postprocess_fallback,Current mirror,10,0.0,1.0,164.62256097936398,0.0,0.1,0.5833333333333334,0.1408913789157455
Optimizer + repair,optimizer_postprocess_fallback,Five transistor,10,0.4,1.0,298.2721101316979,0.0,0.5,0.8166666666666667,0.22257400000000008
Optimizer + repair,optimizer_postprocess_fallback,Folded cascode,10,0.0,1.0,5719.7632829825,0.0,1.0,0.8166666666666667,0.2511886400725578
Optimizer + repair,optimizer_postprocess_fallback,Telescopic,10,1.0,1.0,8263.9001682742,0.0,1.0,1.0,0.02034610733011387
Optimizer + repair,optimizer_postprocess_fallback,Two-stage Miller,10,0.4,1.0,596.8205455237462,0.0,0.4,0.7833333333333333,0.048853253298196196
