job,case,method,family,schema,topology,topology_label,seed,spec,spec_label,metric,direction,target,measured,unit,passed,achievement,capped_achievement,normalized_margin
optimizer_only__five_transistor_ota_frontier_stress__seed_3,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/five_transistor_ota_frontier_stress.yaml,five_transistor_ota,Five transistor,3,dc_gain,Gain,dc_gain_db,min,27.01,24.9139382,dB,False,0.9223968233987412,0.9223968233987412,-0.07760317660125883
optimizer_only__five_transistor_ota_frontier_stress__seed_3,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/five_transistor_ota_frontier_stress.yaml,five_transistor_ota,Five transistor,3,unity_gain_bandwidth,UGBW,unity_gain_bandwidth,min,77530000.0,166653395.7472745,Hz,True,2.149534318938146,1.5,1.1495343189381464
optimizer_only__five_transistor_ota_frontier_stress__seed_3,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/five_transistor_ota_frontier_stress.yaml,five_transistor_ota,Five transistor,3,phase_margin,Phase margin,phase_margin,min,60.0,81.94066581717928,deg,True,1.3656777636196546,1.3656777636196546,0.36567776361965465
optimizer_only__five_transistor_ota_frontier_stress__seed_3,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/five_transistor_ota_frontier_stress.yaml,five_transistor_ota,Five transistor,3,slew_rate,Slew rate,slew_rate,min,69330000.0,129722240.34722085,V/s,True,1.8710838071141043,1.5,0.8710838071141044
optimizer_only__five_transistor_ota_frontier_stress__seed_3,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/five_transistor_ota_frontier_stress.yaml,five_transistor_ota,Five transistor,3,output_swing,Output swing,output_swing,min,0.8736,0.8814218,V,True,1.0089535256410256,1.0089535256410256,0.008953525641025629
optimizer_only__five_transistor_ota_frontier_stress__seed_3,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/five_transistor_ota_frontier_stress.yaml,five_transistor_ota,Five transistor,3,power,Power,total_power,max,0.0002,0.00016405439999999999,W,True,1.2191078081416897,1.2191078081416897,0.1797280000000001
optimizer_only__five_transistor_ota_frontier_stress__seed_2,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/five_transistor_ota_frontier_stress.yaml,five_transistor_ota,Five transistor,2,dc_gain,Gain,dc_gain_db,min,27.01,25.0430134,dB,False,0.9271756164383561,0.9271756164383561,-0.0728243835616439
optimizer_only__five_transistor_ota_frontier_stress__seed_2,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/five_transistor_ota_frontier_stress.yaml,five_transistor_ota,Five transistor,2,unity_gain_bandwidth,UGBW,unity_gain_bandwidth,min,77530000.0,216951047.5357506,Hz,True,2.7982851481458866,1.5,1.7982851481458868
optimizer_only__five_transistor_ota_frontier_stress__seed_2,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/five_transistor_ota_frontier_stress.yaml,five_transistor_ota,Five transistor,2,phase_margin,Phase margin,phase_margin,min,60.0,80.97214815999678,deg,True,1.3495358026666129,1.3495358026666129,0.34953580266661294
optimizer_only__five_transistor_ota_frontier_stress__seed_2,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/five_transistor_ota_frontier_stress.yaml,five_transistor_ota,Five transistor,2,slew_rate,Slew rate,slew_rate,min,69330000.0,196408691.07391146,V/s,True,2.832953859424657,1.5,1.8329538594246568
optimizer_only__five_transistor_ota_frontier_stress__seed_2,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/five_transistor_ota_frontier_stress.yaml,five_transistor_ota,Five transistor,2,output_swing,Output swing,output_swing,min,0.8736,0.8897778999999999,V,True,1.0185186584249082,1.0185186584249082,0.018518658424908258
optimizer_only__five_transistor_ota_frontier_stress__seed_2,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/five_transistor_ota_frontier_stress.yaml,five_transistor_ota,Five transistor,2,power,Power,total_power,max,0.0002,0.00021929880000000002,W,False,0.9119976944698284,0.9119976944698284,-0.09649400000000002
optimizer_only__five_transistor_ota_frontier_stress__seed_4,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/five_transistor_ota_frontier_stress.yaml,five_transistor_ota,Five transistor,4,dc_gain,Gain,dc_gain_db,min,27.01,25.6836147,dB,False,0.9508928063680118,0.9508928063680118,-0.04910719363198822
optimizer_only__five_transistor_ota_frontier_stress__seed_4,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/five_transistor_ota_frontier_stress.yaml,five_transistor_ota,Five transistor,4,unity_gain_bandwidth,UGBW,unity_gain_bandwidth,min,77530000.0,213400253.7791805,Hz,True,2.7524861831443377,1.5,1.7524861831443377
optimizer_only__five_transistor_ota_frontier_stress__seed_4,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/five_transistor_ota_frontier_stress.yaml,five_transistor_ota,Five transistor,4,phase_margin,Phase margin,phase_margin,min,60.0,77.97725790065249,deg,True,1.2996209650108748,1.2996209650108748,0.2996209650108748
optimizer_only__five_transistor_ota_frontier_stress__seed_4,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/five_transistor_ota_frontier_stress.yaml,five_transistor_ota,Five transistor,4,slew_rate,Slew rate,slew_rate,min,69330000.0,217910692.268236,V/s,True,3.1430937872239437,1.5,2.1430937872239437
optimizer_only__five_transistor_ota_frontier_stress__seed_4,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/five_transistor_ota_frontier_stress.yaml,five_transistor_ota,Five transistor,4,output_swing,Output swing,output_swing,min,0.8736,0.8873275999999999,V,True,1.0157138278388276,1.0157138278388276,0.015713827838827656
optimizer_only__five_transistor_ota_frontier_stress__seed_4,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/five_transistor_ota_frontier_stress.yaml,five_transistor_ota,Five transistor,4,power,Power,total_power,max,0.0002,0.00023171039999999996,W,False,0.8631464103467088,0.8631464103467088,-0.15855199999999975
optimizer_only__five_transistor_ota_frontier_stress__seed_1,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/five_transistor_ota_frontier_stress.yaml,five_transistor_ota,Five transistor,1,dc_gain,Gain,dc_gain_db,min,27.01,25.0835761,dB,False,0.928677382450944,0.928677382450944,-0.07132261754905601
optimizer_only__five_transistor_ota_frontier_stress__seed_1,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/five_transistor_ota_frontier_stress.yaml,five_transistor_ota,Five transistor,1,unity_gain_bandwidth,UGBW,unity_gain_bandwidth,min,77530000.0,247098984.91195798,Hz,True,3.1871402671476585,1.5,2.1871402671476585
optimizer_only__five_transistor_ota_frontier_stress__seed_1,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/five_transistor_ota_frontier_stress.yaml,five_transistor_ota,Five transistor,1,phase_margin,Phase margin,phase_margin,min,60.0,76.95521352096202,deg,True,1.2825868920160337,1.2825868920160337,0.28258689201603365
optimizer_only__five_transistor_ota_frontier_stress__seed_1,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/five_transistor_ota_frontier_stress.yaml,five_transistor_ota,Five transistor,1,slew_rate,Slew rate,slew_rate,min,69330000.0,219974157.07651463,V/s,True,3.1728567297925085,1.5,2.1728567297925085
optimizer_only__five_transistor_ota_frontier_stress__seed_1,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/five_transistor_ota_frontier_stress.yaml,five_transistor_ota,Five transistor,1,output_swing,Output swing,output_swing,min,0.8736,0.8814556999999998,V,True,1.0089923305860804,1.0089923305860804,0.008992330586080356
